VO_KO_Yelan_Hello.ogg  ||  안녕, 여행자, 야란이라고 불러줘. 내 도움이 필요해 보이네. 마침 나도 네가 가진 정보에 관심 있거든. 어쨌든, 서로 도우면서 사이좋게 지내보자고
VO_KO_Yelan_Chat_-_Tip-Off.ogg  ||  정보원한테서 연락이 왔어. 흠, 또 새로운 변수가 생긴 모양이야
VO_KO_Yelan_Chat_-_Truancy.ogg  ||  숫자가 괜찮게 나왔네. 그럼 오늘도 계속해서 땡땡이나 쳐볼까나. 일은 컨디션이 좋은 날에 한꺼번에 해치우자고
VO_KO_Yelan_Chat_-_Identity.ogg  ||  이 세상에서 살다 보면 「신분」이 많은 게 편하지. 필요하면 몇 개 만들어 줄까?
VO_KO_Yelan_When_It_Rains.ogg  ||  또 비야? 귀찮게 됐네…. 흔적이 빗물에 씻기면 복원하는 데 오래 걸린다고…
VO_KO_Yelan_When_Thunder_Strikes.ogg  ||  천둥번개를 무서워하는 건 순수한 아이들이거나, 뭔가 찔리는 구석이 있는 사람이야. 넌 둘 다 아니겠지?
VO_KO_Yelan_When_It_Snows.ogg  ||  좀 춥네…. 겉옷을 걸치고만 있을 게 아니군
VO_KO_Yelan_When_the_Sun_Is_Out.ogg  ||  햇살이 눈 부신 건 정말 성가셔. 제대로 눈 붙일 수가 없잖아
VO_KO_Yelan_When_the_Wind_Is_Blowing.ogg  ||  바람에서 불안한 기운이 느껴져… 흐음…
VO_KO_Yelan_Good_Morning.ogg  ||  하암~ 일찍 일어났네? 난 중요한 업무가 없으면 점심까지 푹 자는 편이야
VO_KO_Yelan_Good_Afternoon.ogg  ||  아, 졸려. 조금 자야겠어. 깨워줄 필요 없어. 일할 시간이 되면 알아서 눈 뜰 거니까
VO_KO_Yelan_Good_Evening.ogg  ||  안녕, 저녁은 먹었어? 뭐 먹었어? 아… 그냥 물어본 거니까 신경 쓰지 않아도 돼
VO_KO_Yelan_Good_Night.ogg  ||  우유 먹고 코 자렴. 응? 넌 꼬맹이가 아니라고? 후후… 그럼 여기 놔둘 테니까 마시고 싶으면 마셔. 난 보통 새벽에 자는 편이야. 너한테 잠꼬대하는 습관이 있다면 내가 몰래 적어둘지도 몰라
VO_KO_Yelan_About_Yelan_-_Duties.ogg  ||  칠성은 리월 각지의 상황을 손금 보듯 꿰고 있어. 하지만 가끔 특별한 방법으로 정보를 수집해야 할 때도 있지. 난 그 분야에서 나름 프로니까 그런 일은 거의 내가 맡는 편이야
VO_KO_Yelan_About_Yelan_-_Rumors.ogg  ||  암상 찻집의 현 주인이 젊은 졸부 상인이라고 하는 사람도 있고, 총무부에 성 밖에서 은거하는 병약한 고위 직원이 있다는 사람도 있어. 또 기밀 관련 지역에 접근하면 푸른색 귀신이 달라붙는다고 말하는 사람도 있지…. 물론, 대부분의 일반인은 「야란」이라는 이름을 한 번도 들어본 적 없을 거야. 그러니까 그런 소문은 그냥 우스갯소리로 들으면 돼
VO_KO_Yelan_About_Us_-_Relationship.ogg  ||  응? 표정이 왜 그래? 나랑 있을 때 그렇게 경계하지 않아도 돼. 난 말이지, 한번 인정한 사람은 절대 속이지 않거든
VO_KO_Yelan_About_Us_-_Deception.ogg  ||  다른 사람의 「진심 어린 말」을 너무 기대하지 않는 게 좋아. 사기꾼들은 네가 듣기 좋아하는 말만 골라서 하거든. 눈빛에서 생각이 가장 쉽게 드러나니까 다른 사람과 함부로 시선을 맞추는 것도 금물이야. 어쨌든 우린 친구니까, 네가 속으면 괜히 나까지 당한 기분일 걸
